# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down,mean_episode_return_bidding,loss_bidding
0,1777702414.2584207,0,0,0,0,0,0.06319592893123627,0.0252330731600523,0,0
1,1777702414.2872872,1600,-0.05511525645852089,0.027841461822390556,0,0,0.06319592893123627,0.0252330731600523,0,0
2,1777702414.7023907,3200,-0.06531649827957153,0.029386600479483604,0,0,0.06319592893123627,0.0252330731600523,0,0
3,1777702414.9720058,4800,-0.06531649827957153,0.029386600479483604,0,0,0.07052022218704224,0.02618003822863102,0,0
4,1777702415.2104917,6400,-0.06531649827957153,0.029386600479483604,0.09707238525152206,0.018743284046649933,0.07052022218704224,0.02618003822863102,0,0
5,1777702415.3230927,8000,-0.06531649827957153,0.03290114179253578,0.09707238525152206,0.018743284046649933,0.07052022218704224,0.02618003822863102,0,0
6,1777702415.6091204,9600,-0.06531649827957153,0.03290114179253578,0.09707238525152206,0.018743284046649933,0.0729016363620758,0.026636878028512,0,0
7,1777702415.8761806,11200,-0.06401093304157257,0.02701648697257042,0.09707238525152206,0.018743284046649933,0.0729016363620758,0.026636878028512,0,0
8,1777702416.1886764,12800,-0.060899894684553146,0.030329346656799316,0.09707238525152206,0.018743284046649933,0.0729016363620758,0.026636878028512,0,0
9,1777702416.8397803,14400,-0.06388650089502335,0.028854839503765106,0.09707238525152206,0.018743284046649933,0.0729016363620758,0.026636878028512,0,0
10,1777702416.8801208,16000,-0.06388650089502335,0.028854839503765106,0.08059315383434296,0.022199541330337524,0.0729016363620758,0.026636878028512,0,0
11,1777702417.3417797,17600,-0.06530263274908066,0.02996986359357834,0.08059315383434296,0.022199541330337524,0.0729016363620758,0.026636878028512,0,0
12,1777702417.3744478,19200,-0.06530263274908066,0.02996986359357834,0.08694707602262497,0.022556714713573456,0.0729016363620758,0.026636878028512,0,0
13,1777702417.770361,20800,-0.06530263274908066,0.02996986359357834,0.08694707602262497,0.022556714713573456,0.06835438311100006,0.02649568021297455,0,0
14,1777702417.9422479,22400,-0.06530263274908066,0.02958746813237667,0.08694707602262497,0.022556714713573456,0.06835438311100006,0.02649568021297455,0,0
15,1777702418.3414555,24000,-0.06530263274908066,0.02958746813237667,0.08694707602262497,0.022556714713573456,0.06678006052970886,0.026617029681801796,0,0
